WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8501
 * Running on http://130.1.12.210:8501
Press CTRL+C to quit
127.0.0.1 - - [10/Apr/2026 11:30:39] "GET /api/state HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:31:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:31:04] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:31:04] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:31:04] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:31:04] "GET /assets/index-BelYfJlR.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:31:04] "GET /assets/index-BelYfJlR.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Apr/2026 11:32:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:32:44] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:44] "GET /assets/index-BelYfJlR.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-BelYfJlR.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-BelYfJlR.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET /assets/index-BelYfJlR.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2026 11:32:46] "GET /assets/index-2fN6bfJN.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Apr/2026 11:32:46] "GET /assets/index-BelYfJlR.js HTTP/1.1" 304 -
